start,end
17595,26311
17595,26619
17595,33514
17595,34635
17595,40951
17595,71528
17595,73013
17730,25816
17730,40006
17844,26425
17844,27278
17844,34343
17844,40341
17844,73129
17844,73560
18148,25976
18148,33778
18148,71985
18148,72265
18229,26288
18229,26311
18229,26619
18229,27658
18229,33514
18229,34635
18229,40951
18229,71528
18229,73013
18229,75105
18246,26636
18246,27129
18246,28543
18246,33527
18246,34226
18246,35202
18246,40268
18246,41848
18246,43711
18246,44707
18246,71547
18246,72036
18246,73475
18246,74520
18246,76141
18249,26636
18249,27129
18249,28543
18249,33527
18249,34226
18249,35202
18249,40268
18249,41848
18249,43711
18249,71547
18249,72036
18249,73475
18249,74520
18408,27189
18408,27192
18408,33880
18408,35236
18408,40006
18408,41442
18408,44283
18408,73063
18408,76179
18588,26425
18588,27278
18588,28822
18588,34343
18588,35379
18588,36902
18588,40341
18588,41990
18588,43289
18588,43848
18588,44817
18588,44822
18588,73129
18588,73560
18588,75269
18588,75273
18588,76274
18588,76700
18762,26870
18762,33688
18762,36251
18762,37051
18762,41178
18762,42739
18762,71663
18762,74819
18762,76365
18909,27477
18909,28201
18909,30368
18909,34486
18909,34968
18909,37841
18909,40469
18909,40846
18909,44023
18909,44504
18909,71930
18909,76410
19087,26993
19087,28369
19087,33769
19087,33778
19087,35697
19087,35700
19087,41741
19087,42312
19087,42948
19087,42987
19087,43619
19087,71735
19087,71985
19087,72265
19087,73369
19087,74402
19087,75021
19087,75036
19249,26619
19249,27658
19249,33514
19249,34635
19249,37397
19249,40951
19249,76565
19397,26636
19397,27129
19397,28543
19397,30729
19397,30745
19397,33527
19397,34226
19397,35202
19397,38108
19397,38110
19397,41848
19397,43711
19397,44707
19397,45124
19397,71547
19397,74520
19397,76141
19397,76588
19397,77232
19793,27204
19793,34293
19793,40674
19793,71822
19793,72375
19793,74613
19866,27933
19866,29924
19866,29965
19866,35330
19866,36857
19866,41503
19866,43215
19866,72085
19997,27278
19997,28822
19997,30958
19997,34343
19997,35379
19997,36902
19997,38239
19997,40341
19997,41990
19997,43289
19997,43848
19997,44817
19997,44822
19997,45232
19997,73129
19997,73560
19997,75269
19997,75273
19997,76274
