hit_id,x,y,z,volume_id,layer_id,module_id
17159,-29.3938,-11.1882,-250.794,8,2,49
17164,-28.6504,-13.3145,-252.264,8,2,49
17197,-25.9589,-18.1323,-232.132,8,2,50
17595,-28.9097,-14.0729,-145.558,8,2,65
17730,-4.2950800000000005,-31.743000000000002,-199.96,8,2,68
17844,25.0326,-21.6157,-144.66299999999998,8,2,71
18148,-31.5119,8.39032,-200.842,8,2,80
18229,-30.1577,-9.00346,-96.5205,8,2,81
18246,-21.7191,-22.879,-70.5503,8,2,82
18249,-23.2066,-21.2136,-96.6972,8,2,82
18408,-6.00833,-31.1504,-83.6775,8,2,84
18588,24.6566,-21.2555,-71.7165,8,2,87
18762,24.1442,20.164,-93.5817,8,2,90
18909,6.848839999999999,31.103,-71.4444,8,2,92
19087,-29.1794,11.8697,-110.93799999999999,8,2,95
19249,-31.4619,-6.77347,-39.5365,8,2,97
19397,-25.8328,-19.0166,-18.7885,8,2,98
19793,5.28633,-31.9818,-67.442,8,2,101
19866,17.8946,-26.835,-29.2678,8,2,102
19997,26.1631,-19.2697,-22.2088,8,2,103
20072,28.1913,-15.0608,-1.61563,8,2,103
20083,25.7088,-20.2125,-6.67813,8,2,103
20172,31.8355,-2.65436,-30.1343,8,2,104
20364,28.9758,13.8841,-28.3496,8,2,105
20751,8.20929,31.5222,-42.8335,8,2,108
20853,-3.23944,32.6975,-25.6094,8,2,109
20984,-20.1494,24.820999999999998,-30.1967,8,2,110
21156,-28.160999999999998,15.1237,-32.5293,8,2,111
21177,-26.5354,18.4972,-54.9341,8,2,111
21185,-28.399,14.6297,-25.1812,8,2,111
21233,-27.4122,16.6776,-22.2923,8,2,111
21240,-30.0026,11.302,-0.265629,8,2,111
21320,-31.4539,9.41887,-2.2153400000000003,8,2,112
21375,-31.7205,4.6929,-11.8246,8,2,112
21557,-27.4768,-16.4328,50.0057,8,2,114
21570,-26.0145,-18.07,54.2448,8,2,114
21878,-7.67088,-31.0566,41.2888,8,2,116
22055,19.157,-25.0436,24.6923,8,2,118
22133,20.3564,-23.9723,50.0017,8,2,118
22148,18.3929,-25.7261,2.59884,8,2,118
22362,31.0595,-7.61995,65.8223,8,2,120
22469,29.855,9.869060000000001,37.0963,8,2,121
22527,30.4049,8.2963,26.3639,8,2,121
22544,30.0708,9.25205,56.8748,8,2,121
22636,24.9815,19.2265,4.59687,8,2,122
22788,15.5041,27.4281,5.94125,8,2,123
22842,-1.88612,31.5957,8.647860000000001,8,2,124
22932,6.92148,31.0989,31.5041,8,2,124
22948,0.9090229999999999,31.4381,11.1012,8,2,124
