start,end
17158,25982
17158,25988
17188,71182
17236,71366
17287,26072
17287,26103
17292,25836
17292,26103
17633,71182
17638,26010
17638,26310
17638,26316
17638,33276
17638,33841
17638,34213
17638,40256
17638,71529
17638,72641
17638,72649
17638,72663
17657,71182
17755,26072
17755,26376
17755,40682
17755,40691
17755,73102
17784,25836
17784,26103
17784,26758
17784,33348
17784,34343
17784,34352
17784,40341
17784,72085
17856,40359
17856,41107
17856,72439
17856,73137
17856,73141
17856,73160
17856,73584
17858,26454
17858,34866
17858,40765
17858,72807
17889,17918
17889,26136
17889,26137
17889,26141
17889,33398
17889,33999
17889,40087
17889,41170
17889,71880
17889,71883
17889,73206
17889,73229
17889,73232
17918,26136
17918,26137
17918,26141
17918,27359
17918,33398
17918,33999
17918,40087
17918,41170
17918,71880
17918,71883
17918,73206
17918,73229
17918,73232
17936,26482
17936,33398
17936,33694
17936,71661
17936,73229
17959,26167
17959,26891
17959,26912
17959,27453
17959,27469
17959,33714
17959,34056
17959,40137
17959,41197
17959,41206
17959,41214
17959,41651
17959,71290
17959,71671
17959,72200
17959,72889
17959,73694
17986,26516
17986,26922
17986,34494
17986,34495
17986,34994
17986,40154
17986,40471
17986,41236
17986,41248
17986,41684
17986,71928
17986,72206
17986,72902
17986,72908
18085,25958
18096,34147
18096,72261
18096,72961
18096,72962
18096,72974
18147,25982
18147,25988
18147,26593
18147,33496
18147,39924
18147,40207
18147,71990
18172,27036
18172,27054
18172,27676
18172,33800
18172,33801
18172,34615
18172,34620
18172,36629
18172,36644
18172,37381
18172,39924
18172,39930
18172,40948
18172,43034
18172,43650
18172,44191
18172,71990
18172,72000
18172,72626
18172,74435
18172,75062
18172,75621
18172,75640
18172,76917
18176,26310
18176,26316
18176,27664
18176,27676
18176,34620
18176,34637
18176,35804
18176,36644
18176,40948
18176,40950
18176,42404
18176,43034
18176,71529
18176,72000
18176,72626
18176,72641
18176,72642
18176,74435
18176,74461
18176,75086
18207,26010
18207,26310
18207,26316
18207,27094
18207,27664
18207,27694
18207,33276
18207,34213
18207,34637
18207,34652
18207,40950
18207,42404
18207,71529
18207,72641
18207,72642
18207,74461
18221,27036
18221,27054
18221,27676
18221,33800
18221,33801
18221,34615
18221,34620
18221,36629
18221,36644
18221,37381
18221,39924
18221,39930
18221,40948
18221,43034
18221,43650
18221,44191
18221,71990
18221,72000
18221,72626
18221,74435
18221,75062
18221,75621
18221,75640
18306,26310
18306,26316
18306,27094
18306,27664
18306,27694
18306,28514
18306,29653
18306,29697
18306,33276
18306,34213
18306,34637
18306,34652
18306,35804
18306,37408
18306,40950
18306,42404
18306,44207
18306,44210
18306,44684
18306,71529
18306,72641
18306,72642
18306,74461
18306,75086
18306,75652
18306,76125
18336,26655
18336,27758
18336,28567
18336,28606
18336,28612
18336,28617
18336,33544
18336,34685
18336,35212
18336,35232
18336,35893
18336,35896
18336,36744
18336,37490
18336,40287
18336,41004
18336,41856
18336,41872
18336,41877
