hit_id,x,y,z,volume_id,layer_id,module_id
17076,17.1762,27.1719,-293.447,8,2,43
17106,-20.3232,24.6658,-314.658,8,2,46
17139,-31.2825,12.4572,-280.19599999999997,8,2,48
17158,-33.8374,1.52093,-244.609,8,2,49
17162,-31.374000000000002,-5.52465,-261.407,8,2,49
17188,-22.5733,-21.9226,-232.106,8,2,50
17216,-15.3436,-27.5054,-229.382,8,2,51
17236,-4.32589,-31.2453,-228.06900000000002,8,2,52
17287,16.073,-27.7983,-243.53400000000002,8,2,54
17292,18.6939,-25.4573,-228.037,8,2,54
17633,-22.4545,-22.7989,-202.618,8,2,66
17638,-26.6204,-18.1349,-170.05,8,2,66
17657,-22.8341,-22.3738,-202.947,8,2,66
17755,10.6274,-30.1144,-163.99900000000002,8,2,69
17784,19.4574,-25.4391,-177.25,8,2,70
17856,27.9988,-15.4603,-159.968,8,2,71
17858,31.9048,-1.42505,-145.611,8,2,72
17889,29.7844,11.5713,-164.953,8,2,73
17918,29.7362,14.6465,-158.733,8,2,74
17936,24.7211,20.2613,-172.37,8,2,74
17959,12.1579,29.5902,-158.20600000000002,8,2,75
17986,0.707454,31.9453,-148.616,8,2,76
18085,-19.2134,25.6571,-205.63400000000001,8,2,78
18096,-29.8614,11.595,-178.892,8,2,79
18147,-31.8665,2.1052299999999997,-203.18,8,2,80
18172,-32.8382,-1.33684,-79.8381,8,2,81
18176,-30.2516,-8.73483,-103.927,8,2,81
18207,-29.1289,-11.9458,-122.12799999999999,8,2,81
18221,-32.2029,-3.1539,-89.2854,8,2,81
18306,-28.9304,-14.8054,-70.8356,8,2,82
18336,-16.0071,-27.1857,-82.2651,8,2,83
18376,-20.9536,-24.8021,-111.88600000000001,8,2,83
18464,5.32344,-31.4444,-132.592,8,2,85
18588,24.6566,-21.2555,-71.7165,8,2,87
18735,29.326999999999998,11.3794,-72.4439,8,2,89
18782,26.005,18.0806,-126.07600000000001,8,2,90
18844,17.2855,26.5697,-118.669,8,2,91
18855,13.8675,28.2167,-79.3959,8,2,91
18858,20.8777,24.8387,-75.6514,8,2,91
18892,9.81668,30.9356,-99.5269,8,2,92
18991,-11.520999999999999,29.2775,-119.693,8,2,93
19137,-31.0541,7.71541,-96.5501,8,2,96
19175,-31.3498,2.47364,-122.264,8,2,96
19197,-31.1741,-7.596610000000001,-51.9024,8,2,97
19272,-31.1905,-7.549519999999999,-48.9934,8,2,97
19292,-33.4201,-1.17256,-9.37813,8,2,97
19298,-30.8829,-8.42943,-0.37812399999999996,8,2,97
19449,-27.1666,-17.5234,-45.6882,8,2,98
19493,-17.5168,-27.0078,-17.8313,8,2,99
19501,-15.7821,-27.8437,-24.3267,8,2,99
19539,-11.8426,-29.7421,-42.4385,8,2,99
19564,-19.7858,-25.9144,-39.9577,8,2,99
19565,-16.9474,-27.2822,-7.10457,8,2,99
19605,-8.56317,-31.5022,-7.53148,8,2,100
19623,-2.07309,-31.8683,-57.9858,8,2,100
19631,-2.38076,-31.8509,-6.56562,8,2,100
19690,-1.19377,-31.9179,-32.4471,8,2,100
19692,-4.93329,-31.706999999999997,-1.84063,8,2,100
19710,-9.43336,-31.4531,-15.0803,8,2,100
19752,11.4769,-29.8174,-61.628,8,2,101
19888,21.9303,-23.2303,-13.8754,8,2,102
19891,24.0649,-21.3237,-23.98,8,2,102
19910,23.1831,-22.1113,-42.6662,8,2,102
19934,23.180999999999997,-22.1132,-49.8721,8,2,102
19962,23.2818,-22.0231,-56.5004,8,2,102
19968,19.067999999999998,-25.787,-8.64688,8,2,102
20038,29.4837,-12.3788,-35.7859,8,2,103
20068,28.9364,-13.5146,-6.14154,8,2,103
20146,31.8975,-1.5561,-9.994660000000001,8,2,104
20170,31.8869,-1.74347,-55.2819,8,2,104
20231,31.4431,-9.61098,-7.192760000000001,8,2,104
20322,29.8009,11.5241,-21.5273,8,2,105
20336,31.6302,6.29214,-21.9836,8,2,105
20355,32.8641,2.763,-37.5491,8,2,105
20359,31.2507,7.3773800000000005,-40.1751,8,2,105
20417,23.2421,21.9171,-38.4244,8,2,106
20434,27.7156,16.9087,-35.1883,8,2,106
20439,25.5336,19.3517,-8.27719,8,2,106
20450,22.1564,23.1326,-50.3431,8,2,106
20492,21.8604,23.464000000000002,-34.0069,8,2,106
20493,26.0265,18.7998,-43.4464,8,2,106
20513,23.1223,22.0512,-41.2523,8,2,106
20555,21.1438,25.26,-17.6519,8,2,107
20577,16.0078,27.735,-29.3717,8,2,107
20602,20.7234,25.4626,-3.72865,8,2,107
20715,2.41891,31.8488,-31.8792,8,2,108
20742,7.76352,31.5473,-0.425512,8,2,108
20748,9.44171,31.4526,-1.39063,8,2,108
20821,1.1068200000000001,31.9228,-4.28293,8,2,108
20841,-11.0198,29.9772,-12.3463,8,2,109
20848,-5.2706800000000005,31.9873,-0.8792690000000001,8,2,109
20878,-9.06977,30.659000000000002,-47.8149,8,2,109
20924,-5.09896,32.0473,-41.7008,8,2,109
20928,-7.9292,31.0578,-44.0084,8,2,109
20934,-8.02223,31.0253,-35.586,8,2,109
20961,-3.7311,32.5256,-43.0276,8,2,109
21003,-23.4683,21.8566,-24.0869,8,2,110
21032,-16.1965,28.3518,-15.0722,8,2,110
21038,-22.3123,22.8892,-22.0496,8,2,110
21081,-22.737,22.5098,-16.5227,8,2,110
21088,-18.3743,26.4065,-29.0101,8,2,110
21101,-20.8777,24.1705,-12.6311,8,2,110
21187,-27.7058,16.0683,-53.1194,8,2,111
21198,-28.0365,15.3821,-47.2462,8,2,111
21210,-29.1561,13.0587,-10.2186,8,2,111
21216,-27.4678,16.5622,-48.8238,8,2,111
21392,-31.5762,7.25162,-10.5575,8,2,112
21396,-32.6761,-1.8004799999999999,6.6349800000000005,8,2,113
21411,-30.5021,-8.018369999999999,32.9475,8,2,113
21479,-29.7867,-10.0645,5.15937,8,2,113
21483,-30.2998,-8.5969,28.4661,8,2,113
21520,-32.2511,-3.01614,56.4541,8,2,113
21554,-24.8423,-19.3824,6.82653,8,2,114
21629,-25.3642,-18.798,70.813,8,2,114
21634,-21.9405,-22.6311,35.5223,8,2,114
21648,-27.0154,-16.9495,1.4006,8,2,114
21699,-10.8441,-29.6737,68.0915,8,2,115
21735,-19.2013,-25.6465,26.8259,8,2,115
21774,-13.7145,-28.2905,27.0053,8,2,115
21778,-13.8182,-28.2405,1.72813,8,2,115
21780,-14.8266,-27.7546,65.8237,8,2,115
21796,-20.725,-24.9122,41.8075,8,2,115
21813,-3.4152099999999996,-31.2967,45.5216,8,2,116
21839,1.8362,-31.5929,63.5284,8,2,116
21889,0.8377889999999999,-31.5366,57.4087,8,2,116
21922,2.1754599999999997,-31.6121,4.91643,8,2,116
21948,10.3994,-29.6696,11.5367,8,2,117
21999,2.8641799999999997,-32.3042,38.3316,8,2,117
22004,5.24964,-31.4702,29.9277,8,2,117
22132,19.7994,-24.4698,36.2363,8,2,118
22165,21.6243,-22.8398,11.8812,8,2,118
